"Показник","Період","Стать","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки часового ряду","Примітки спостереження","2016","2017","2018","2019","2020"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Керівники малих підприємств без апарату управління","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5805","","","","10468"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Освіта","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4501","","","","10005"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в галузі  математики та статистики","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5802","","","","8097"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Фахівці в галузі біології, агрономії та медицини ","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3740","","","","8466"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Розмір підприємства","100-499 осіб","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5380","","","","11676"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Транспорт, складське господарство, поштова та кур'єрська діяльність","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","6277","","","","12981"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Інші професіонали в галузі  навчання","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5246","","","","10138"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Операції з нерухомим майном","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4259","","","","9577"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Рівень освіти","Докторантура або її еквівалент","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середня заробітна плата штатних працівників за одну оплачену годину  обчислюється шляхом ділення суми нарахованого фонду оплати праці штатних працівників на кількість оплачених їм людино-годин за відповідний період. Освіта – це процес і результат засвоєння людиною систематичних знань, умінь і навичок, розвиток розуму та почуттів, формування світогляду та пізнавальних інтересів.","Інформація відсутня.","","","","","18815"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Допоміжний персонал у галузі сучасної медицини, фізіотерапії, фармації та ветеринарії (крім медичних сестер) ","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3364","","","","9537"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Законодавці, вищі державні службовці, керівники, менеджери (управителі)","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","8532","","","","17816"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Вищі посадові особи  громадських і самоврядну- вальних організацій","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","7529","","","","31040"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Розмір підприємства","1000-4999 осіб","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","6176","","","","14675"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в сфері архівної   справи, музеєзнавства, бібліотечної справи, інформації та кінопрограм ","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4643","","","","19968"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Запорізька","Не застосовується","Не застосовується","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","3914","","","","8912"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","Усього","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5500","","","","12035"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в галузі наук про життя та медичних наук","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4688","","","","12304"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали з безпеки та якості ","Річна","Гривня","Одиниці","Нуль","Явищ не було","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","9822","","","",""
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Миколаївська","Не застосовується","Не застосовується","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4124","","","","9158"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Менеджери (управителі) в інших  видах економічної діяльності","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","19280","","","","34961"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Керівники виробничих та інших основних підрозділів","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","8307","","","","17486"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Сільське господарство, лісове господарство та рибне господарство","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4027","","","","9344"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Водопостачання; каналізація, поводження з відходами","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","3962","","","","9831"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Фахівці, що керують суднами  та літальними апаратами і забезпечують судноплавство та польоти","Річна","Гривня","Одиниці","Нуль","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","28366","","","","44639"
